"State","Age","Region","meanPrv"
"Alabama",39.1269580699416,"South",13.2397759103641
"Alaska",35.9308861062481,"West",20.2087719298246
"Arizona",38.6742922842529,"West",17.21875
"Arkansas",38.6782865310554,"South",15.65078125
"California",37.6157264058884,"West",18.4006020799124
"Colorado",37.7493877552486,"West",19.115308988764
"Connecticut",40.2443698313498,"Northeast",15.714406779661
"Delaware",40.228880104907,"South",15.1769230769231
"District of Columbia",36.6026644836929,"South",22.5805555555556
"Florida",41.4785098916558,"South",16.3739162380603
"Georgia",37.2602403186707,"South",15.5072961373391
"Hawaii",40.0503826004082,"West",19.853813559322
"Idaho",37.362086182093,"West",16.3890410958904
"Illinois",38.5697437884552,"Midwest",20.6335352006056
"Indiana",38.2336005015538,"Midwest",16.6820895522388
"Iowa",38.8225802245582,"Midwest",20.3876237623762
"Kansas",37.8718712580132,"Midwest",17.4229032258065
"Kentucky",38.888782297868,"South",18.4672932330827
"Louisiana",37.8944164516313,"South",19.0107611548556
"Maine",42.3991333888796,"Northeast",20.1363636363636
"Maryland",38.7757174350405,"South",17.0024875621891
"Massachusetts",39.7100448257657,"Northeast",20.0721568627451
"Michigan",39.5653024875833,"Midwest",16.5457671957672
"Minnesota",38.5244780157981,"Midwest",21.6314814814815
"Mississippi",38.1169956227456,"South",13.2670886075949
"Missouri",39.082941743313,"Midwest",19.4415349887133
"Montana",40.0158135500775,"West",23.0702127659574
"Nebraska",37.6681997134945,"Midwest",22.2559633027523
"Nevada",38.3889002899515,"West",19.3059620596206
"New Hampshire",41.2363584181296,"Northeast",17.9450980392157
"New Jersey",39.3986029509191,"Northeast",15.8301242236025
"New Mexico",38.7873046022791,"West",16.1084112149533
"New York",39.2592458557357,"Northeast",17.7808467741935
"North Carolina",38.9230445082273,"South",17.0507575757576
"North Dakota",37.4694038757897,"Midwest",24.8518518518519
"Ohio",39.3894621250237,"Midwest",17.5756853396901
"Oklahoma",37.7366881429496,"South",14.5395348837209
"Oregon",39.642698114201,"West",19.0974431818182
"Pennsylvania",40.39777980718,"Northeast",19.7722480620155
"Rhode Island",40.1110784885703,"Northeast",17.7122641509434
"South Carolina",39.5230639624271,"South",18.9655367231638
"South Dakota",38.1981124124754,"Midwest",18.4916666666667
"Tennessee",38.9226655471783,"South",13.9546845124283
"Texas",35.8245049582486,"South",18.6183633387889
"Utah",33.256446543165,"West",12.6466135458167
"Vermont",41.4390425931454,"Northeast",20.2461538461538
"Virginia",38.6662757280847,"South",17.9036468330134
"Washington",38.47869847093,"West",17.1416195856874
"West Virginia",41.2407251287985,"South",11.8791666666667
"Wisconsin",39.4365337258509,"Midwest",24.0031400966184
"Wyoming",38.5054736261277,"West",17.1888888888889
